,date_index,rsrp,rsrq,wbcqi
879,5653,-83,-2,15
880,5652,-83,-2,15
881,5651,-83,-2,15
882,5650,-83,-2,15
883,5649,-83,-2,15
884,5648,-83,-2,15
885,5647,-83,-2,15
886,5646,-83,-2,15
887,5645,-83,-2,15
888,5644,-83,-2,15
889,5643,-83,-2,15
890,5642,-83,-2,15
891,5641,-83,-2,15
892,5640,-83,-2,15
893,5639,-83,-2,15
894,5638,-83,-2,15
895,5637,-83,-2,15
896,5636,-83,-2,15
897,5635,-83,-2,15
898,5634,-83,-2,15
899,5633,-83,-2,15
900,5632,-83,-2,15
901,5631,-83,-2,15
902,5630,-83,-2,15
903,5629,-83,-2,15
904,5628,-83,-2,15
905,5627,-83,-2,15
906,5626,-83,-2,15
907,5625,-83,-2,15
908,5624,-83,-2,15
909,5623,-83,-2,15
910,5622,-83,-2,15
911,5621,-83,-2,15
912,5620,-83,-2,15
913,5619,-83,-2,15
914,5618,-83,-2,15
915,5617,-83,-2,15
916,5616,-83,-2,15
917,5615,-83,-2,15
918,5614,-83,-2,15
919,5613,-83,-2,15
920,5612,-83,-2,15
921,5611,-83,-2,15
922,5610,-83,-2,15
923,5609,-83,-2,15
924,5608,-83,-2,15
925,5607,-83,-2,15
926,5606,-83,-2,15
927,5605,-83,-2,15
928,5604,-83,-2,15
929,5603,-83,-2,15
930,5602,-83,-2,15
931,5601,-83,-2,15
932,5600,-83,-2,15
933,5599,-83,-2,15
934,5598,-83,-2,15
935,5597,-83,-2,15
936,5596,-83,-2,15
937,5595,-83,-2,15
938,5594,-83,-2,15
939,5593,-83,-2,15
940,5592,-83,-2,15
941,5591,-83,-2,15
942,5590,-83,-2,15
943,5589,-83,-2,15
944,5588,-83,-2,15
945,5587,-83,-2,15
946,5586,-83,-2,15
947,5585,-83,-2,15
948,5584,-83,-2,15
949,5583,-83,-2,15
950,5582,-83,-2,15
951,5581,-83,-2,15
952,5580,-83,-2,15
953,5579,-83,-2,15
954,5578,-83,-2,15
955,5577,-83,-2,15
956,5576,-83,-2,15
957,5575,-83,-2,15
958,5574,-83,-2,15
959,5573,-83,-2,15
960,5572,-83,-2,15
961,5571,-83,-2,15
962,5570,-83,-2,15
963,5569,-83,-2,15
964,5568,-83,-2,15
965,5567,-83,-2,15
966,5566,-83,-2,15
967,5565,-83,-2,15
968,5564,-83,-2,15
969,5563,-83,-2,15
970,5562,-83,-2,15
971,5561,-83,-2,15
972,5560,-83,-2,15
973,5559,-83,-2,15
974,5558,-83,-2,15
975,5557,-83,-2,15
976,5556,-83,-2,15
977,5555,-83,-2,15
978,5554,-83,-2,15
979,5553,-83,-2,15
980,5552,-83,-2,15
981,5551,-83,-2,15
982,5550,-83,-2,15
983,5549,-83,-2,15
984,5548,-83,-2,15
985,5547,-83,-2,15
986,5546,-83,-2,15
987,5545,-83,-2,15
988,5544,-83,-2,15
989,5543,-83,-2,15
990,5542,-83,-2,15
991,5541,-83,-2,15
992,5540,-83,-2,15
993,5539,-83,-2,15
994,5538,-83,-2,15
995,5537,-83,-2,15
996,5536,-83,-2,15
997,5535,-83,-2,15
998,5534,-83,-2,15
999,5533,-83,-2,15
1000,5532,-83,-2,15
1001,5531,-83,-2,15
1002,5530,-83,-2,15
1003,5529,-83,-2,15
1004,5528,-83,-2,15
1005,5527,-83,-2,15
1006,5526,-83,-2,15
1007,5525,-83,-2,15
1008,5524,-83,-2,15
1009,5523,-83,-2,15
1010,5522,-83,-2,15
1011,5521,-83,-2,15
1012,5520,-83,-2,15
1013,5519,-83,-2,15
1014,5518,-83,-2,15
1015,5517,-83,-2,15
1016,5516,-83,-2,15
1017,5515,-83,-2,15
1018,5514,-83,-2,15
1019,5513,-83,-2,15
1020,5512,-83,-2,15
1021,5511,-83,-2,15
1022,5510,-83,-2,15
1023,5509,-83,-2,15
1024,5508,-83,-2,15
1025,5507,-83,-2,15
1026,5506,-83,-2,15
1027,5505,-83,-2,15
1028,5504,-83,-2,15
1029,5503,-83,-2,15
1030,5502,-83,-2,15
1031,5501,-83,-2,15
1032,5500,-83,-2,15
1033,5499,-83,-2,15
1034,5498,-83,-2,15
1035,5497,-83,-2,15
1036,5496,-83,-2,15
1037,5495,-83,-2,15
1038,5494,-83,-2,15
1039,5493,-83,-2,15
1040,5492,-83,-2,15
1041,5491,-83,-2,15
1042,5490,-83,-2,15
1043,5489,-83,-2,15
1044,5488,-83,-2,15
1045,5487,-83,-2,15
1046,5486,-83,-2,15
1047,5485,-83,-2,15
1048,5484,-83,-2,15
1049,5483,-83,-2,15
1050,5482,-83,-2,15
1051,5481,-83,-2,15
1052,5480,-83,-2,15
1053,5479,-83,-2,15
1054,5478,-83,-2,15
1055,5477,-83,-2,15
1056,5476,-83,-2,15
1057,5475,-83,-2,15
1058,5474,-83,-2,15
1059,5473,-83,-2,15
1060,5472,-83,-2,15
1061,5471,-83,-2,15
